Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Semolina kheer (Suji/Rava kheer),Pan-India / General Home Cooking,Sweet,Veg,"A vegetarian sweet typically made with semolina, beans.","Semolina, Beans",,113.21,3.43,15.88,4.2,12.88,0.51,22.66,105.99,0.34,4.06,17.54,"Semolina, Beans, Sugar, Ghee, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),Pan-India / General Home Cooking,Sweet,Veg,"A vegetarian sweet typically made with semolina, beans, coconut.","Semolina, Beans, Coconut",,464.43,5.68,50.9,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21,"Semolina, Beans, Coconut, Sugar, Ghee, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Coconut (Shita, cooling, pacifies Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),Pan-India / General Home Cooking,Sweet,Veg,"A vegetarian sweet typically made with semolina, beans, khoya (milk solids).","Semolina, Beans, Khoya (Milk Solids)",,428.71,6.71,52.86,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1,"Semolina, Beans, Khoya (Milk Solids), Sugar, Ghee, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Khoya (Milk Solids) (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Pan-India / General Home Cooking,Sweet,Veg,"A vegetarian sweet typically made with semolina, beans.","Semolina, Beans",,441.84,5.44,48.02,25.45,19.79,4.27,3.93,18.04,1.81,0.03,4.01,"Semolina, Beans, Sugar, Ghee, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Semolina milk drink (Thari kanji),Pan-India / General Home Cooking,Beverage (Juice/Cooler),Veg,"A vegetarian beverage typically made with semolina, beans, milk.","Semolina, Beans, Milk",,44.16,0.98,6.93,1.36,3.88,0.72,11.95,8.26,0.36,6.58,11.86,"Semolina, Beans, Milk, Water, Sugar, Ice","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
Semolina porridge (Suji/Rava daliya),Pan-India / General Home Cooking,Breakfast (Porridge/Cereal),Veg,"A vegetarian breakfast typically made with semolina, beans.","Semolina, Beans",,100.89,3.75,12.39,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,"Semolina, Beans, Milk/Water, Sugar, Salt","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Milk/Water (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Salt (Ushna, enhances taste, balances electrolytes)"
Semolina upma (Suji/Rava upma),Pan-India / General Home Cooking,Breakfast/Tiffin,Veg,"A vegetarian breakfast/tiffin typically made with semolina, beans.","Semolina, Beans",,147.89,3.3,16.31,7.49,1.31,3.24,101.59,21.57,1.1,4.64,15.13,"Semolina, Beans, Salt, Oil, Mixed Spices","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sesame chickpeas brittle (Til aur channe ki chikki),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet.,Sesame Seeds,,282.74,8.5,50.49,4.66,36.48,5.54,17.93,150.73,4.8,0.0,23.64,"Sesame Seeds, Sugar, Ghee, Milk/Khoya, Cardamom","Sesame Seeds (Ushna, Snigdha, warming and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Sesame ladoo (Til ke ladoo),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet.,Sesame Seeds,,396.96,10.7,43.5,19.64,38.63,7.72,18.55,631.82,8.94,0.0,18.17,"Sesame Seeds, Sugar, Ghee, Milk/Khoya, Cardamom","Sesame Seeds (Ushna, Snigdha, warming and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Sev (Omapodi/Karapusa),Pan-India / General Home Cooking,Snack (Dry/Namkeen),Veg,A vegetarian snack.,Gram Flour (Besan),,609.14,5.12,12.87,60.08,0.53,2.35,53.19,13.95,0.72,0.0,59.29,"Gram Flour (Besan), Oil, Spices, Salt","Gram Flour (Besan) (Laghu, light, balances Kapha); Oil (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Shahi chicken masala,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with chicken.,Chicken,,163.7,9.82,4.07,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chicken (Guru, Ushna, builds strength); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Shahi keema kofta curry,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with minced meat.,Minced Meat,,418.13,4.14,1.73,43.83,0.78,0.91,104.53,14.51,0.67,20.97,34.57,"Minced Meat, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Minced Meat (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Shahi paneer,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with paneer.,Paneer,,156.5,5.06,6.64,12.34,5.01,1.4,215.35,125.38,0.62,30.83,78.58,"Paneer, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Paneer (Guru, Snigdha, cooling and nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Shahi suji halwa,Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with semolina.,Semolina,,382.34,3.48,44.44,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46,"Semolina, Sugar, Ghee, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Shishu ahar,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Rice,,93.37,2.61,17.42,1.43,6.61,1.02,2.68,13.78,1.02,0.0,17.34,"Rice, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Rice (Laghu, easy to digest, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Short crust pastry,Pan-India / General Home Cooking,Bakery (Cake/Pastry),Veg,A vegetarian bakery.,Refined Flour (Maida),,422.1,6.11,44.72,23.98,3.18,1.58,97.2,16.9,1.02,,,"Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Small onion pickle,Pan-India / General Home Cooking,Pickle/Preserve,Veg,A vegetarian pickle/preserve typically made with onion.,Onion,,16.86,1.65,2.76,0.64,2.99,1.09,249.48,31.95,1.2,19.37,16.9,"Onion, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Onion (Ushna, stimulates Agni, balances Kapha and Vata); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Snow flakes pudding,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Milk,,95.21,4.67,8.07,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48,"Milk, Sugar, Egg, Cornflour","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Sour lentils (Khatti dal),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Lentils,,34.79,2.22,6.04,0.12,1.25,1.22,115.6,8.29,0.85,1.88,22.49,"Lentils, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Lentils (Laghu, protein-rich, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Soya chikki,Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with soybean.,Soybean,,423.7,7.18,62.89,15.51,45.47,3.55,17.24,81.25,4.47,0.0,36.21,"Soybean, Sugar, Ghee, Milk/Khoya, Cardamom","Soybean (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Soya chunks and peas (Nutrinugget matar),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with soybean, green peas.","Soybean, Green Peas",,82.62,3.03,5.82,5.11,1.64,2.86,70.97,20.32,0.99,39.15,52.1,"Soybean, Green Peas, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Soybean (Balances doshas when eaten fresh and in moderation); Green Peas (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Soya chunks sweet and sour (Nutrinugget sweet and sour),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with soybean.,Soybean,,500.94,2.85,3.27,55.99,1.1,0.86,2257.67,13.89,0.7,37.78,40.59,"Soybean, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Soybean (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Soya roti,Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti typically made with soybean.,Soybean,,283.96,9.18,40.03,9.23,1.58,8.71,155.93,53.42,3.85,4.04,35.91,"Soybean, Wheat Flour, Salt, Water, Oil/Ghee","Soybean (Balances doshas when eaten fresh and in moderation); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Soyabean curry,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Soyabean,,163.28,10.43,6.76,10.19,2.66,7.34,352.69,65.13,2.79,15.13,103.88,"Soyabean, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Soyabean (Guru, protein-dense, needs strong Agni); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Soyabean muthias,Pan-India / General Home Cooking,Snack (Dry/Namkeen),Veg,A vegetarian snack.,Soyabean,,839.33,2.46,3.7,90.45,0.17,1.47,78.25,12.16,0.6,0.79,22.43,"Soyabean, Gram Flour (Besan), Oil, Spices, Salt","Soyabean (Guru, protein-dense, needs strong Agni); Gram Flour (Besan) (Laghu, light, balances Kapha); Oil (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Soyabean namak paras,Pan-India / General Home Cooking,Snack (Dry/Namkeen),Veg,A vegetarian snack.,Soyabean,,838.46,2.65,4.65,89.83,0.22,1.41,72.05,12.13,0.64,0.0,45.64,"Soyabean, Gram Flour (Besan), Oil, Spices, Salt","Soyabean (Guru, protein-dense, needs strong Agni); Gram Flour (Besan) (Laghu, light, balances Kapha); Oil (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Soyabean tikki,Pan-India / General Home Cooking,Snack (Fried),Veg,A vegetarian snack.,Soyabean,,698.17,3.53,4.39,74.02,0.35,2.2,88.72,29.23,1.04,6.71,57.9,"Soyabean, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Soyabean (Guru, protein-dense, needs strong Agni); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Spicy corn chaat,Pan-India / General Home Cooking,Snack (Fried),Veg,A vegetarian snack.,Corn,,479.8,4.61,11.45,46.55,0.95,2.17,86.5,17.28,0.84,14.1,227.37,"Corn, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Corn (Balances doshas when eaten fresh and in moderation); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach and paneer souffle,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,"A vegetarian dessert typically made with spinach, paneer.","Spinach, Paneer",,186.19,7.56,9.64,13.49,2.81,1.07,434.68,114.32,1.4,10.82,133.95,"Spinach, Paneer, Milk, Sugar, Egg, Cornflour","Spinach (Laghu, cooling, iron-rich); Paneer (Guru, Snigdha, cooling and nourishing); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Spinach and potato (Palak aloo),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with potato, spinach.","Potato, Spinach",,57.17,1.63,5.91,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242.0,"Potato, Spinach, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Potato (Guru, Vata aggravating in excess); Spinach (Laghu, cooling, iron-rich); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach burfi (Palak burfi),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with spinach.,Spinach,,121.17,2.71,12.76,6.81,12.12,1.17,27.77,93.68,1.05,8.57,39.63,"Spinach, Sugar, Ghee, Milk/Khoya, Cardamom","Spinach (Laghu, cooling, iron-rich); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Spinach khichri (Palak khichri/khichdi),Pan-India / General Home Cooking,Rice Dish,Veg,A vegetarian rice dish typically made with spinach.,Spinach,,102.18,3.43,17.35,1.91,0.21,1.56,69.59,10.43,0.65,3.03,28.15,"Spinach, Rice, Oil/Ghee, Whole Spices, Salt","Spinach (Laghu, cooling, iron-rich); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach kofta curry (Palak kofta curry),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with spinach.,Spinach,,571.78,1.09,3.56,61.49,0.82,0.92,104.51,29.31,0.83,64.05,250.89,"Spinach, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach mushroom (Palak mushroom),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with spinach, mushroom.","Spinach, Mushroom",,47.63,1.94,2.95,2.96,1.0,2.27,70.97,49.75,1.69,60.21,232.9,"Spinach, Mushroom, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Mushroom (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach mushroom scrambled egg (Palak mushroom bhurji),Pan-India / General Home Cooking,Curry/Gravy,Egg (Ovo-Veg),"A egg-based curry/gravy typically made with spinach, mushroom, egg.","Spinach, Mushroom, Egg",,158.85,13.28,0.59,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,"Spinach, Mushroom, Egg, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Mushroom (Balances doshas when eaten fresh and in moderation); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach mutton (Palak mutton),Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,"A non-vegetarian curry/gravy typically made with spinach, mutton.","Spinach, Mutton",,80.32,5.74,3.45,4.71,1.42,2.23,121.1,96.88,2.38,88.11,391.34,"Spinach, Mutton, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Mutton (Guru, Ushna, heavy and warming); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach pakora/pakoda (Palak pakoda),Pan-India / General Home Cooking,Snack (Fried),Veg,A vegetarian snack typically made with spinach.,Spinach,,712.62,1.96,4.68,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51,"Spinach, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Spinach (Laghu, cooling, iron-rich); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach paneer (Palak paneer),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with spinach, paneer.","Spinach, Paneer",,77.68,4.03,4.43,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05,"Spinach, Paneer, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Paneer (Guru, Snigdha, cooling and nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach paneer kofta curry (Palak paneer kofta curry),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with spinach, paneer.","Spinach, Paneer",,606.03,1.43,2.94,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93,"Spinach, Paneer, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Paneer (Guru, Snigdha, cooling and nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
